192.168.43.207,114.242.165.218,"[['117.136.83.233', ['66', '45', '58']], ['211.137.61.33', ['61', '35', '33']], ['221.183.39.221', ['67', '67', '57']], ['221.183.37.225', ['*', '92', '*']], ['221.183.94.42', ['80', '39', '*']], ['221.183.68.194', ['90', '76', '65']], ['219.158.3.65', ['71', '60', '69']], ['221.222.116.154', ['89', '89', '112']], ['124.65.252.34', ['79', '62', '67']], ['114.242.165.218', ['97', '73', '70']]]"
192.168.43.207,61.143.62.100,"[['117.136.83.245', ['50', '33', '49']], ['120.202.253.229', ['67', '46', '35']], ['221.183.39.217', ['52', '41', '34']], ['221.183.41.33', ['*', '*', '93']], ['221.183.128.94', ['89', '55', '112']], ['202.97.95.117', ['*', '*', '77']], ['14.148.18.34', ['60', '91', '67']], ['14.148.22.158', ['100', '58', '59']], ['61.143.62.123', ['109', '65', '59']], ['61.143.62.100', ['81', '57', '58']]]"
192.168.43.207,123.127.3.1,"[['117.136.83.245', ['115', '70', '28']], ['120.202.253.229', ['43', '68', '37']], ['221.183.39.217', ['37', '24', '28']], ['221.183.37.225', ['67', '*', '66']], ['221.183.95.62', ['57', '52', '63']], ['219.158.109.185', ['82', '67', '*']], ['202.96.12.66', ['102', '48', '58']], ['221.216.106.166', ['*', '84', '70']], ['123.127.3.1', ['92', '71', '65']], ['123.127.3.1', ['65', '*', '67']]]"
192.168.43.207,219.242.208.16,"[['117.136.83.233', ['115', '70', '46']], ['211.137.61.33', ['40', '72', '50']], ['221.183.39.221', ['43', '28', '24']], ['221.183.41.230', ['*', '57', '39']], ['221.183.90.150', ['59', '64', '59']], ['221.183.68.110', ['73', '66', '42']], ['101.4.115.93', ['47', '*', '*']], ['101.4.116.94', ['92', '77', '76']], ['101.4.117.134', ['68', '88', '65']], ['101.4.32.3', ['67', '*', '*']]]"
192.168.43.207,61.143.157.33,"[['117.136.83.245', ['116', '44', '38']], ['120.202.253.229', ['*', '66', '*']], ['221.183.39.217', ['71', '41', '69']], ['221.183.90.218', ['84', '*', '84']], ['221.183.90.206', ['69', '71', '84']], ['202.97.81.253', ['78', '62', '*']], ['113.96.251.10', ['96', '78', '89']], ['183.7.189.37', ['79', '65', '62']], ['202.104.226.74', ['71', '147', '90']]]"
192.168.43.207,210.38.160.1,"[['117.136.83.233', ['65', '61', '71']], ['211.137.61.33', ['51', '34', '35']], ['221.183.39.217', ['67', '47', '62']], ['221.183.95.218', ['200', '105', '77']], ['101.4.118.178', ['67', '63', '134']], ['222.200.253.5', ['72', '74', '84']], ['222.200.253.2', ['76', '*', '121']], ['58.253.195.50', ['85', '73', '79']]]"
192.168.43.207,125.93.83.170,"[['117.136.83.233', ['70', '61', '56']], ['120.202.253.225', ['51', '66', '43']], ['221.183.90.214', ['98', '*', '*']], ['221.183.90.194', ['98', '72', '72']], ['10.255.31.5', ['96', '56', '63']], ['113.98.37.34', ['*', '68', '69']], ['113.98.26.186', ['79', '58', '58']], ['125.93.83.130', ['87', '52', '57']]]"
192.168.43.207,218.3.86.189,"[['117.136.83.245', ['65', '41', '29']], ['120.202.253.229', ['66', '53', '57']], ['221.183.39.217', ['46', '29', '39']], ['221.183.41.194', ['84', '*', '79']], ['221.183.95.46', ['*', '87', '*']], ['221.183.90.186', ['*', '*', '198']], ['202.97.43.197', ['64', '*', '83']], ['58.217.58.114', ['85', '70', '113']], ['58.217.59.105', ['65', '70', '92']]]"
192.168.43.207,211.66.209.37,"[['117.136.83.233', ['114', '75', '30']], ['120.202.253.225', ['33', '62', '37']], ['221.183.90.214', ['*', '92', '*']], ['221.183.95.218', ['54', '46', '61']], ['101.4.118.178', ['61', '67', '60']], ['222.16.81.2', ['55', '48', '79']], ['222.16.83.95', ['86', '47', '63']]]"
192.168.43.207,202.38.193.28,"[['117.136.83.233', ['111', '43', '54']], ['211.137.61.33', ['36', '37', '76']], ['221.183.39.217', ['42', '47', '27']], ['221.183.90.218', ['*', '*', '59']], ['221.183.95.218', ['69', '68', '58']], ['101.4.112.237', ['54', '54', '46']], ['202.112.19.9', ['97', '67', '64']]]"
