ip,dist,delays
172.24.52.71,210.29.144.145,"[['192.168.13.1', ['33', '21', '10']], ['10.1.1.1', ['2', '1', '1']], ['202.112.5.229', ['14', '5', '7']], ['101.4.113.233', ['4', '18', '3']], ['101.4.112.2', ['17', '35', '14']], ['101.4.117.37', ['103', '29', '26']], ['101.4.112.62', ['37', '29', '35']], ['101.4.117.26', ['34', '41', '34']], ['101.4.116.97', ['37', '32', '37']], ['211.65.206.94', ['58', '49', '142']], ['211.65.207.190', ['108', '32', '137']], ['210.29.144.145', ['39', '33', '37']]]"
172.24.52.71,125.216.100.4,"[['192.168.13.1', ['90', '9', '4']], ['10.1.1.1', ['1', '2', '3']], ['202.112.5.229', ['2', '1', '2']], ['101.4.113.233', ['2', '2', '2']], ['101.4.115.202', ['30', '25', '173']], ['101.4.112.37', ['119', '30', '60']], ['101.4.117.34', ['68', '43', '46']], ['101.4.114.61', ['43', '43', '45']], ['202.112.19.86', ['1255', '*', '*']], ['125.216.100.4', ['46', '42', '47']]]"
172.24.52.71,120.72.45.194,"[['192.168.13.1', ['25', '74', '10']], ['10.1.1.1', ['5', '2', '1']], ['61.148.29.225', ['3', '2', '3']], ['61.148.153.157', ['5', '3', '3']], ['61.148.158.69', ['*', '6', '4']], ['219.158.119.114', ['25', '18', '20']], ['221.6.174.82', ['29', '32', '29']], ['221.6.174.42', ['31', '28', '28']], ['153.36.202.74', ['61', '30', '32']], ['120.72.45.194', ['45', '28', '24']]]"
172.24.52.71,202.195.195.23,"[['192.168.13.1', ['17', '10', '6']], ['10.1.1.1', ['5', '11', '4']], ['202.112.5.229', ['55', '3', '2']], ['101.4.113.233', ['*', '*', '2']], ['101.4.112.2', ['25', '12', '12']], ['101.4.117.37', ['37', '24', '24']], ['101.4.112.62', ['31', '133', '31']], ['101.4.117.26', ['36', '32', '36']], ['101.4.116.97', ['40', '33', '34']], ['219.219.148.78', ['35', '35', '34']], ['219.219.148.202', ['36', '35', '36']]]"
172.24.52.71,121.201.2.202,"[['192.168.13.1', ['31', '46', '11']], ['10.1.1.1', ['2', '1', '1']], ['61.148.29.225', ['6', '3', '3']], ['61.148.153.157', ['6', '3', '3']], ['61.148.157.229', ['3', '6', '*']], ['124.65.194.37', ['*', '5', '4']], ['219.158.8.82', ['39', '*', '*']], ['219.158.24.18', ['42', '38', '84']], ['202.97.17.149', ['40', '46', '47']], ['202.97.80.21', ['*', '36', '35']], ['59.36.104.186', ['50', '42', '46']], ['183.2.241.254', ['69', '42', '42']], ['183.6.195.54', ['44', '43', '43']], ['121.201.2.202', ['50', '42', '42']]]"
172.24.52.71,211.66.88.20,"[['192.168.13.1', ['38', '7', '5']], ['10.1.1.1', ['2', '2', '2']], ['202.112.5.229', ['36', '2', '3']], ['101.4.113.233', ['6', '4', '3']], ['101.4.115.202', ['28', '27', '26']], ['101.4.112.37', ['33', '33', '32']], ['101.4.117.34', ['*', '358', '229']], ['101.4.114.61', ['71', '158', '44']], ['202.112.19.86', ['1270', '*', '1265']]]"
172.24.52.71,219.135.198.35,"[['192.168.13.1', ['109', '12', '9']], ['10.1.1.1', ['3', '4', '3']], ['61.148.29.225', ['6', '5', '3']], ['61.148.153.149', ['53', '3', '2']], ['202.106.36.145', ['*', '6', '5']], ['219.158.24.14', ['48', '46', '40']], ['202.97.81.41', ['41', '39', '39']], ['202.97.95.101', ['38', '37', '38']], ['14.147.8.26', ['39', '38', '37']], ['14.147.6.9', ['79', '63', '39']], ['183.56.32.82', ['36', '40', '36']], ['218.107.0.4', ['40', '44', '39']], ['219.135.198.35', ['39', '135', '37']], ['219.135.198.35', ['39', '38', '41']]]"
172.24.52.71,39.107.245.192,"[['192.168.13.1', ['25', '75', '10']], ['10.1.1.1', ['5', '2', '1']], ['61.148.29.225', ['3', '2', '3']], ['61.148.153.149', ['3', '3', '4']], ['125.33.184.182', ['5', '5', '3']], ['39.107.245.192', ['13', '5', '5']]]"
172.24.52.71,219.222.223.162,"[['192.168.13.1', ['44', '243', '63']], ['10.1.1.1', ['3', '1', '5']], ['202.112.5.229', ['10', '2', '2']], ['101.4.113.233', ['5', '3', '2']], ['101.4.112.2', ['13', '13', '14']], ['101.4.117.37', ['25', '28', '27']], ['101.4.116.225', ['39', '38', '39']], ['101.4.114.61', ['42', '42', '39']]]"
172.24.52.71,123.124.19.65,"[['192.168.13.1', ['43', '6', '40']], ['10.1.1.1', ['12', '2', '1']], ['61.148.29.225', ['7', '7', '4']], ['61.148.153.149', ['3', '2', '2']], ['202.106.36.145', ['7', '3', '*']], ['61.148.148.102', ['7', '3', '3']], ['61.50.130.38', ['7', '10', '7']]]"
