ip,addr,name,mail,longitude,latitude
27.221.108.43,['内蒙古呼和浩特市新城区机场路29号'],内蒙古鸿德文理学院-内蒙古鸿德文理学院,['010000'],111.778579,40.851670
202.121.48.211,[' 上海奉贤区海思路500号'],上海师范大学旅游学院,[],121.516394,30.835236
117.144.202.153,['上海市金山区漕廊公路3888号'],上海中侨职业技术大学,[],121.303845,30.797143
59.78.83.100,['松江区文翔路2200号'],上海视觉艺术学院,[],121.206697,31.047807
121.194.14.84,['西安市长安中路108号'],西安音乐学院,[],108.944028,34.228864
219.144.162.162,['西安市东郊水安路28号'],西安思源学院官网主页,['710038'],109.081459,34.234988
123.56.229.98,['陕西省铜川市朝阳路8号'],铜川职业技术学院,['727031'],108.931309,34.886180
116.255.186.89,['西安市蓝田向阳19号'],陕西电子信息职业技术学院,['710500'],109.371260,34.119405
120.78.211.66,['陕西省西安市西咸新区沣西新城统一大道'],陕西科技大学镐京学院,[],108.947035,34.223094
113.140.71.214,['陕西省西安市长安区皂河路2号'],延安大学西安创新学院,['710100'],108.937969,34.152107
117.34.13.41,['西安市西咸新区泾河新城'],西安理工大高科学院,[],108.887502,34.223020
61.54.31.41,['北京市海淀区阜成路16号'],中国航天科技集团有限公司_中国航天科技集团有限公司,['100048'],116.312890,39.923576
218.249.41.14,['上海市黄浦区老西门街道中华路889号'],中国船舶集团有限公司,['200011'],121.493090,31.215281
118.212.233.23,['北京市西城区宣武门内大街2号'],中国华电集团有限公司,['100031'],116.375357,39.904756
203.93.21.138,['北京市西城区金融大街丙17号'],北京银行,['100033'],116.358221,39.916209
124.70.125.212,['北京市朝阳区东三环中路财富中心A座'],际华集团官网,['100020'],116.459500,39.915900
218.249.41.14,['北京市海淀区首体南路9号主语国际1号楼'],中国船舶重工股份有限公司,['100044'],116.324771,39.932931
118.123.21.73,['山东省日照市东港区烟台路201号路'],山东正青食品有限公司_五常大米_五常稻花香大米_,[],119.530272,35.416705
8.210.156.250,['河北省石家庄市和平路'],物美商业集团,[],114.924957,37.799572
60.2.40.163,['南堡开发区'],唐山三友化工股份有限公司,['063305'],118.206185,39.240528
42.96.153.25,['山西省晋城市凤台东街2288号兰花科技大厦'],山西兰花科技创业股份有限公司,['048000'],112.879962,35.489567
61.167.38.26,['黑龙江省哈尔滨市南岗区汉水路263号'],黑龙江北大荒农业股份有限公司 | 我的网站,['150090'],126.692493,45.745601
221.203.30.23,['中国安徽马鞍山市九华西路8号'],首页-鞍山钢铁集团有限公司,['114021'],118.506230,31.654859
124.93.160.147,['辽宁省大连市中山区青三街1号'],大商集团,[],121.633827,38.916864
27.221.108.43,['中国上海中山南路268号新源广场1号楼36层'],上海电力,['200010'],121.502637,31.221446
218.249.41.14,['上海市黄浦区老西门街道中华路889号'],中国船舶集团有限公司,['200011'],121.493090,31.215281
153.3.162.12,['南京市中山路288号'],南京银行,['210008'],118.784747,32.054562
60.12.30.130,['宁波市鄞州区宁东路345号'],宁波银行,['315042'],121.614526,29.865136
118.31.7.66,['上海市闵行区黎安路999号大虹桥国际'],精工钢构集团,['200233'],121.360397,31.124438
210.76.0.68,['河南省平顶山市矿工路中段21号'],平顶山天安煤业股份有限公司,[],113.304685,33.745000
115.238.21.52,['湖北省汉川市沉湖镇福星街一号'],湖北福星科技股份有限公司,['431608'],113.855789,30.660461
111.202.89.106,['北京市东城区东交民巷27号'],首页 - 中华人民共和国最高人民法院,['100745'],116.405179,39.902908
111.202.89.80,['北京市丰台区金中都南街17号'],中华人民共和国审计署,['100073）'],116.324029,39.862456
211.144.20.19,['北京市西城区白广路二条2号'],中华人民共和国水利部,[],116.358598,39.885633
42.202.155.151,['北京市宣武门西大街26号'],国务院国有资产监督管理委员会,['100053'],116.356829,39.897760
118.212.233.23,['北京市西城区宣武门外大街40号'],国家版权局,['100052'],116.375338,39.891333
111.161.120.119,['北京市东城区体育馆路2号'],国家体育总局,['100763'],116.429924,39.883406
111.202.89.113,['北京市西城区月坛南街57号'],国家统计局,['100826'],116.343136,39.914446
211.91.76.26,['北京市西城区广安门南街6-1号'],中共中央台湾工作办公室、国务院台湾事务办公室,['100053'],116.350762,39.885967
159.226.242.40,['北京市西城区三里河路52号'],中国科学院,['100864'],116.336199,39.910995
103.247.176.27,['中国北京建国门内大街5号'],中国社会科学院,[],116.432202,39.909214
221.195.34.35,['北京市西城区冰窖口胡同2号'],中国工程院,['100088'],116.377276,39.950540
111.205.25.37,['北京市东城区工体西路1号'],国家中医药管理局政府网站,[],116.443510,39.930230
202.198.16.83,['吉林省长春市前进大街2699号'],吉林大学,[],125.279415,43.823157
39.107.195.101,['吉林省长春市南关区人民大街5268号'],东北师范大学,['130024'],125.331050,43.863281
219.150.13.31,['吉林省延吉市公园路977号'],延边大学,['133002'],129.488053,42.910955
175.16.216.46,['吉林省吉林市滨江东路3999号'],北华大学,['132013'],126.567285,43.832828
222.168.56.237,['中国吉林长春市卫星路6543号'],长春大学欢迎您！,['130022'],125.321192,43.833943
210.47.0.168,['中国吉林省长春市卫星路7089号'],长春理工大学,['130022'],125.312803,43.836170
218.27.6.130,['吉林省四平市铁西区海丰大街1301号'],吉林师范大学,[],124.344786,43.156290
128.14.151.195,['吉林省长春市净月大街3699号'],吉林财经大学,[],125.434581,43.818858
222.168.151.42,['吉林省吉林市龙潭区承德街45号'],吉林化工学院官方网站V12,['132022'],126.617470,43.899714
125.223.225.33,['长春九台经济开发区卡伦湖大街1666号'],吉林工商学院,['130507'],125.538181,43.991699
119.53.90.88,['吉林省长春市双阳区奢岭高校园区'],长春建筑学院,[],125.524403,43.697285
36.48.176.2,['吉林省白城市棉纺路27号'],白城医学高等专科学校,['137000'],122.801310,45.609009
111.26.175.16,['吉林交通职业技术学院长春市新电台街63号'],吉林交通技术学院欢迎您！,[],125.266506,43.840085
47.92.173.200,['吉林白山浑江区北安大街2998号'],高职小学教育专业_护理专业_长白山职业技术学院,[],126.400001,41.939393
47.92.52.136,['吉林省长春市合隆经济开发区景苑路1号'],吉林司法警官职业学院,['130062'],125.178274,44.072570
222.168.151.131,['吉林省吉林市龙潭区汉阳街65号'],吉林电子信息职业技术学院官网,['132021'],126.563032,43.923012
175.20.208.126,['吉林省吉林市永吉经济开发区吉桦东路1号'],吉林铁道职业技术学院,['132299'],126.523107,43.683988
58.244.173.35,['吉林省长春市双阳区东华大街1699号'],长春科技学院欢迎你！,['130600'],125.668082,43.536445
111.26.178.74,['吉林省四平市铁西区东丰路西1999号'], 吉林师范大学博达学院,['136000'],124.331481,43.151086
202.112.14.178,['成都市高新区（西区）西源大道2006号'],电子科技大学,[],103.931862,30.753589
202.115.144.151,['中国·四川·成都市'],西华大学,[],104.066541,30.572269
220.166.52.236,['四川省绵阳市涪城区青龙大道中段59号'],西南科技大学,[],104.695361,31.535004
210.41.222.230,['成都市十二桥路37号'],成都中医药大学,['610075'],104.043241,30.665630
210.41.192.21,['四川省南充市顺庆区师大路1号'],西华师范大学门户网站,['637002'],106.071604,30.818698
180.96.16.233,['四川省新津县中国民航飞行学院新津分院'],中国民用航空飞行学院,['611431'],103.838981,30.418171
221.236.157.18,['四川省内江市东桐路1124号'],内江师范学院,[],105.051273,29.588838
101.226.7.200,['四川省成都市体院路2号'],成都体育学院,['610041'],104.043212,30.646332
118.122.113.13,['成都市新生路6号'],四川音乐学院,['610021'],104.079234,30.638177
210.41.112.111,['四川省康定市姑咱镇学府路354号'],四川民族学院欢迎您!,[],102.175829,30.122594
221.10.89.234,['四川省绵阳市高新区绵兴西路166号'],绵阳师范学院,['621000'],104.600183,31.454044
